      R       THETA       E_CP
    5.7000   45.0000   -78.706763893856
    5.7000   50.0000   -78.706763570386
    5.7000   55.0000   -78.706763257121
    5.7000   60.0000   -78.706762963926
    5.7000   65.0000   -78.706762699143
    5.7000   70.0000   -78.706762470624
    5.7000   75.0000   -78.706762285639
    5.7000   80.0000   -78.706762148884
    5.7000   85.0000   -78.706762065115
    5.7000   90.0000   -78.706762036975
    5.8000   0.0000   -78.706764317527
    5.8000   5.0000   -78.706764292486
    5.8000   10.0000   -78.706764218302
    5.8000   15.0000   -78.706764098101
    5.8000   20.0000   -78.706763936438
    5.8000   25.0000   -78.706763737708
    5.8000   30.0000   -78.706763508384
    5.8000   35.0000   -78.706763254366
    5.8000   40.0000   -78.706762984461
    5.8000   45.0000   -78.706762703168
    5.8000   50.0000   -78.706762423030
    5.8000   55.0000   -78.706762151504
    5.8000   60.0000   -78.706761896982
    5.8000   65.0000   -78.706761667023
    5.8000   70.0000   -78.706761468920
    5.8000   75.0000   -78.706761307859
    5.8000   80.0000   -78.706761189227
    5.8000   85.0000   -78.706761116802
    5.8000   90.0000   -78.706761092529
    5.9000   0.0000   -78.706763051790
    5.9000   5.0000   -78.706763030416
    5.9000   10.0000   -78.706762967623
    5.9000   15.0000   -78.706762864984
    5.9000   20.0000   -78.706762726556
    5.9000   25.0000   -78.706762556200
    5.9000   30.0000   -78.706762358112
    5.9000   35.0000   -78.706762138419
    5.9000   40.0000   -78.706761904954
    5.9000   45.0000   -78.706761661737
    5.9000   50.0000   -78.706761418370
    5.9000   55.0000   -78.706761182672
    5.9000   60.0000   -78.706760962071
    5.9000   65.0000   -78.706760762408
    5.9000   70.0000   -78.706760590138
    5.9000   75.0000   -78.706760450488
    5.9000   80.0000   -78.706760347693
    5.9000   85.0000   -78.706760284678
    5.9000   90.0000   -78.706760263497
    6.0000   0.0000   -78.706761948867
    6.0000   5.0000   -78.706761930990
    6.0000   10.0000   -78.706761877277
    6.0000   15.0000   -78.706761789306
    6.0000   20.0000   -78.706761670301
    6.0000   25.0000   -78.706761522973
    6.0000   30.0000   -78.706761352177
    6.0000   35.0000   -78.706761162022
    6.0000   40.0000   -78.706760960246
    6.0000   45.0000   -78.706760748476
    6.0000   50.0000   -78.706760537627
    6.0000   55.0000   -78.706760332918
    6.0000   60.0000   -78.706760141489
    6.0000   65.0000   -78.706759967397
    6.0000   70.0000   -78.706759819053
    6.0000   75.0000   -78.706759696019
    6.0000   80.0000   -78.706759607357
    6.0000   85.0000   -78.706759553580
    6.0000   90.0000   -78.706759534635
    6.2000   0.0000   -78.706760143709
    6.2000   5.0000   -78.706760130302
    6.2000   10.0000   -78.706760090737
    6.2000   15.0000   -78.706760025656
    6.2000   20.0000   -78.706759936969
    6.2000   25.0000   -78.706759827079
    6.2000   30.0000   -78.706759698664
    6.2000   35.0000   -78.706759555200
    6.2000   40.0000   -78.706759401089
    6.2000   45.0000   -78.706759243286
    6.2000   50.0000   -78.706759083842
    6.2000   55.0000   -78.706758928472
    6.2000   60.0000   -78.706758782582
    6.2000   65.0000   -78.706758651333
    6.2000   70.0000   -78.706758538290
    6.2000   75.0000   -78.706758447069
    6.2000   80.0000   -78.706758380011
    6.2000   85.0000   -78.706758341455
    6.2000   90.0000   -78.706758325268
    6.4000   0.0000   -78.706758755900
    6.4000   5.0000   -78.706758747701
    6.4000   10.0000   -78.706758716550
    6.4000   15.0000   -78.706758667861
    6.4000   20.0000   -78.706758601295
    6.4000   25.0000   -78.706758518576
    6.4000   30.0000   -78.706758421438
    6.4000   35.0000   -78.706758313142
    6.4000   40.0000   -78.706758196199
    6.4000   45.0000   -78.706758076983
    6.4000   50.0000   -78.706757951815
    6.4000   55.0000   -78.706757833243
    6.4000   60.0000   -78.706757723730
    6.4000   65.0000   -78.706757625146
    6.4000   70.0000   -78.706757538777
    6.4000   75.0000   -78.706757469062
    6.4000   80.0000   -78.706757417635
    6.4000   85.0000   -78.706757387211
    6.4000   90.0000   -78.706757376744
    6.6000   0.0000   -78.706757679679
    6.6000   5.0000   -78.706757672204
    6.6000   10.0000   -78.706757649713
    6.6000   15.0000   -78.706757613212
    6.6000   20.0000   -78.706757563404
    6.6000   25.0000   -78.706757500288
    6.6000   30.0000   -78.706757426597
    6.6000   35.0000   -78.706757344114
    6.6000   40.0000   -78.706757256157
    6.6000   45.0000   -78.706757161877
    6.6000   50.0000   -78.706757067597
    6.6000   55.0000   -78.706756977821
