R	phi	theta2	theta1	E
2.90	90	0	90	-152.260276778871
2.90	90	0	120	-152.364996017531
2.90	90	0	150	-152.3226817622
2.90	90	0	180	-151.540324984228
2.90	90	30	0	-151.911556622007
2.90	90	30	30	-152.327008000112
2.90	90	30	60	-152.365664610148
2.90	90	30	90	-152.260497954215
2.90	90	30	120	-152.365664610726
2.90	90	30	150	-152.327008001146
2.90	90	30	180	-151.911556622183
2.90	90	60	0	-152.226066856395
2.90	90	60	30	-152.334759374902
2.90	90	60	60	-152.366853485551
2.90	90	60	90	-152.26087912671
2.90	90	60	120	-152.366853485202
2.90	90	60	150	-152.334759375293
2.90	90	60	180	-152.226066856834
2.90	90	90	0	-152.312590649926
2.90	90	90	30	-152.338015723585
2.90	90	90	60	-152.274770409471
2.90	90	90	90	-152.26103613901
2.90	90	90	120	-152.274774051655
2.90	90	90	150	-152.338015724342
2.90	90	90	180	-152.312590649388
3.00	0	0	0	-151.839787993803
3.00	0	0	30	-152.328998321452
3.00	0	0	90	-152.260930775411
3.00	0	0	150	-152.328998321266
3.00	0	0	180	-151.83978799483
3.00	0	30	0	-152.094302904017
3.00	0	30	30	-152.335561179846
3.00	0	30	60	-152.275545470748
3.00	0	30	90	-152.261215770046
3.00	0	30	120	-152.365904661654
3.00	0	30	150	-152.332315613098
3.00	0	30	180	-152.094302902947
3.00	0	60	0	-152.259915523564
3.00	0	60	30	-152.342536377788
3.00	0	60	60	-152.275517071401
3.00	0	60	90	-152.261699999078
3.00	0	60	120	-152.366694024808
3.00	0	60	150	-152.341579541191
3.00	0	60	180	-152.259915524458
3.00	0	90	0	-152.307992732573
3.00	0	90	30	-152.345645255692
3.00	0	90	60	-152.367861052075
3.00	0	90	90	-152.261902984277
3.00	0	90	120	-152.367861051716
3.00	0	90	150	-152.345645256293
3.00	0	90	180	-152.30799273238
3.00	30	0	0	-151.839787993804
3.00	30	0	30	-152.329000629237
3.00	30	0	90	-152.26090124727
3.00	30	0	150	-152.329000629604
3.00	30	0	180	-151.83978799483
3.00	30	30	0	-152.094302904017
3.00	30	30	30	-152.335027525987
3.00	30	30	60	-152.275625260506
3.00	30	30	90	-152.261152720408
3.00	30	30	120	-152.366113032756
3.00	30	30	150	-152.33205153239
3.00	30	30	180	-152.094302902947
3.00	30	60	0	-152.259915523564
3.00	30	60	30	-152.341505704472
3.00	30	60	60	-152.275735406634
3.00	30	60	90	-152.261578883349
3.00	30	60	120	-152.367005556409
3.00	30	60	150	-152.340371704992
3.00	30	60	180	-152.259915524458
3.00	30	90	0	-152.307992732573
3.00	30	90	30	-152.344296588278
3.00	30	90	90	-152.261755883643
3.00	30	90	150	-152.344296589635
3.00	30	90	180	-152.307992732379
3.00	60	0	0	-151.839787993804
3.00	60	0	30	-152.329000547861
3.00	60	0	90	-152.260944511325
3.00	60	0	150	-152.329000547552
3.00	60	0	180	-151.83978799483
3.00	60	30	0	-152.094302904017
3.00	60	30	30	-152.333666758564
3.00	60	30	60	-152.27559611766
3.00	60	30	90	-152.261129919748
3.00	60	30	150	-152.331650870624
3.00	60	30	180	-152.094302902946
3.00	60	60	0	-152.259915523564
3.00	60	60	30	-152.339276658539
3.00	60	60	60	-152.275981796859
3.00	60	60	90	-152.261442828892
3.00	60	60	120	-152.275575317484
3.00	60	60	150	-152.338158740331
3.00	60	60	180	-152.259915524458
3.00	60	90	0	-152.307992732573
3.00	60	90	30	-152.341409414696
3.00	60	90	60	-152.275964760056
3.00	60	90	90	-152.261568752355
3.00	60	90	150	-152.341409414944
3.00	60	90	180	-152.30799273238
3.00	90	0	0	-151.839787993804
3.00	90	0	30	-152.329001286939
3.00	90	0	90	-152.260930775251
3.00	90	0	150	-152.329001287109
3.00	90	0	180	-151.839787994831
3.00	90	30	0	-152.094302904017
3.00	90	30	30	-152.332128108176
3.00	90	30	60	-152.275476280929
3.00	90	30	90	-152.261083743846
3.00	90	30	120	-152.275479869769
3.00	90	30	150	-152.332128108962
3.00	90	30	180	-152.094302902947
3.00	90	60	0	-152.259915523564
3.00	90	60	30	-152.33774702283
3.00	90	60	60	-152.276015571011
3.00	90	60	90	-152.261341513542
3.00	90	60	120	-152.27601557156
3.00	90	60	150	-152.337747022958
3.00	90	60	180	-152.259915524457
3.00	90	90	0	-152.307992732573
3.00	90	90	30	-152.339972251346
3.00	90	90	60	-152.276246335709
3.00	90	90	90	-152.261441951417
3.00	90	90	120	-152.276246328629
3.00	90	90	150	-152.339972251326
3.00	90	90	180	-152.30799273238
3.10	0	0	0	-151.995919282124
3.10	0	0	30	-152.334455785625
3.10	0	0	60	-152.276431937609
3.10	0	0	90	-152.261371572048
3.10	0	0	120	-152.276431938615
3.10	0	0	150	-152.334455785453
3.10	0	0	180	-151.995919284155
3.10	0	30	0	-152.198078263603
3.10	0	30	30	-152.338547662917
3.10	0	30	60	-152.276788254405
3.10	0	30	90	-152.261586484187
3.10	0	30	120	-152.279057660228
3.10	0	30	150	-152.337977461164
3.10	0	30	180	-152.1980782632
3.10	0	60	0	-152.271253618743
3.10	0	60	30	-152.344141728278
3.10	0	60	60	-152.276743806004
3.10	0	60	90	-152.261947666369
3.10	0	60	150	-152.344861812358
3.10	0	60	180	-152.271253618956
3.10	0	90	0	-152.287331295166
3.10	0	90	30	-152.347313395818
3.10	0	90	60	-152.276288726393
3.10	0	90	90	-152.262096957876
3.10	0	90	120	-152.27628872743
3.10	0	90	150	-152.347313396634
3.10	0	90	180	-152.287331294881
3.10	30	0	0	-151.995919282124
