	0	1	2
1002	5.2000000000	65.0000000000	-3.8974493549
479	5.4000000000	30.0000000000	-3.8062389925
1077	5.2000000000	70.0000000000	-3.7996229260
778	5.3000000000	50.0000000000	-3.7959895253
1152	5.2000000000	75.0000000000	-3.7208967167
554	5.4000000000	35.0000000000	-3.7023100713
853	5.3000000000	55.0000000000	-3.6755868382
30	5.5000000000	0.0000000000	-3.6713130104
1227	5.2000000000	80.0000000000	-3.6631884991
105	5.5000000000	5.0000000000	-3.6621984503
1209	3.4000000000	80.0000000000	-3.6433438241
180	5.5000000000	10.0000000000	-3.6352171139
1302	5.2000000000	85.0000000000	-3.6279683086
1377	5.2000000000	90.0000000000	-3.6161230417
629	5.4000000000	40.0000000000	-3.5931065196
255	5.5000000000	15.0000000000	-3.5914209543
928	5.3000000000	60.0000000000	-3.5641022877
330	5.5000000000	20.0000000000	-3.5324568996
704	5.4000000000	45.0000000000	-3.4820885692
1003	5.3000000000	65.0000000000	-3.4645123829
405	5.5000000000	25.0000000000	-3.4604896315
1078	5.3000000000	70.0000000000	-3.3793360337
480	5.5000000000	30.0000000000	-3.3780602293
779	5.4000000000	50.0000000000	-3.3726359123
311	3.6000000000	20.0000000000	-3.3131907701
1153	5.3000000000	75.0000000000	-3.3107526245
555	5.5000000000	35.0000000000	-3.2879597478
854	5.4000000000	55.0000000000	-3.2679364177
1228	5.3000000000	80.0000000000	-3.2604674789
31	5.6000000000	0.0000000000	-3.2579939959
106	5.6000000000	5.0000000000	-3.2501078357
1303	5.3000000000	85.0000000000	-3.2297695600
181	5.6000000000	10.0000000000	-3.2267495889
1378	5.3000000000	90.0000000000	-3.2194474500
630	5.5000000000	40.0000000000	-3.1931611934
256	5.6000000000	15.0000000000	-3.1888120843
929	5.4000000000	60.0000000000	-3.1708911011
331	5.6000000000	20.0000000000	-3.1377078536
705	5.5000000000	45.0000000000	-3.0966641240
1004	5.4000000000	65.0000000000	-3.0841253180
406	5.6000000000	25.0000000000	-3.0752800519
1079	5.4000000000	70.0000000000	-3.0098766114
1134	3.4000000000	75.0000000000	-3.0080672623
481	5.6000000000	30.0000000000	-3.0037069625
780	5.5000000000	50.0000000000	-3.0014051107
1154	5.4000000000	75.0000000000	-2.9500706536
556	5.6000000000	35.0000000000	-2.9253731728
855	5.5000000000	55.0000000000	-2.9101881611
1229	5.4000000000	80.0000000000	-2.9062060150
32	5.7000000000	0.0000000000	-2.8972343295
107	5.7000000000	5.0000000000	-2.8903847462
1304	5.4000000000	85.0000000000	-2.8794294513
1379	5.4000000000	90.0000000000	-2.8704226531
182	5.7000000000	10.0000000000	-2.8701015601
631	5.6000000000	40.0000000000	-2.8428555394
257	5.7000000000	15.0000000000	-2.8371441537
930	5.5000000000	60.0000000000	-2.8255587461
332	5.7000000000	20.0000000000	-2.7927090985
706	5.6000000000	45.0000000000	-2.7587680060
1005	5.5000000000	65.0000000000	-2.7498496542
407	5.7000000000	25.0000000000	-2.7383878120
1080	5.5000000000	70.0000000000	-2.6850328704
482	5.7000000000	30.0000000000	-2.6760372660
781	5.6000000000	50.0000000000	-2.6756705213
236	3.6000000000	15.0000000000	-2.6627061541
1155	5.5000000000	75.0000000000	-2.6328047112
557	5.7000000000	35.0000000000	-2.6077297379
