R,phi,th2,th1,E_cm
8.8,30.0,30.0,0.0,0.14171718539532194
9.0,30.0,30.0,0.0,0.14151855996154084
9.5,30.0,30.0,0.0,0.13345637718341677
10.0,30.0,30.0,0.0,0.12031862591419014
10.5,30.0,30.0,0.0,0.1020482423554742
11.0,30.0,30.0,0.0,0.08845420214262163
11.5,30.0,30.0,0.0,0.07620115495401251
12.0,30.0,30.0,0.0,0.06549869235346335
12.5,30.0,30.0,0.0,0.056314998216829934
13.0,30.0,30.0,0.0,0.0485054325326243
13.5,30.0,30.0,0.0,0.04188761321326112
14.0,30.0,30.0,0.0,0.03627959793916844
14.5,30.0,30.0,0.0,0.031517437452257296
15.0,30.0,30.0,0.0,0.027461984162823683
16.0,30.0,30.0,0.0,0.021021500515119414
17.0,30.0,30.0,0.0,0.016259779796221636
18.0,30.0,30.0,0.0,0.012701217578059244
19.0,30.0,30.0,0.0,0.010017481814285105
20.0,30.0,30.0,0.0,0.007974612802866972
21.0,30.0,30.0,0.0,0.0064051493794531214
22.0,30.0,30.0,0.0,0.0051881615782123445
23.0,30.0,30.0,0.0,0.004236300867355282
24.0,30.0,30.0,0.0,0.0034839420073839735
25.0,30.0,30.0,0.0,0.002886531196377007
50.0,30.0,30.0,0.0,0.00011917713162191035
100.0,30.0,30.0,0.0,0.0
2.7,60.0,30.0,0.0,573.4235021691114
2.8,60.0,30.0,0.0,550.4394047456223
2.9,60.0,30.0,0.0,470.4462862613919
3.0,60.0,30.0,0.0,371.32569896322565
3.1,60.0,30.0,0.0,272.63381519006225
3.2,60.0,30.0,0.0,186.4935340719513
3.3,60.0,30.0,0.0,118.15632427841001
3.4,60.0,30.0,0.0,64.57813612317781
3.5,60.0,30.0,0.0,26.703090640233523
3.6,60.0,30.0,0.0,0.7110282301010464
3.7,60.0,30.0,0.0,-16.066367481633236
3.8,60.0,30.0,0.0,-26.00453032610106
3.9,60.0,30.0,0.0,-31.223483833705885
4.0,60.0,30.0,0.0,-33.042898885919925
4.1,60.0,30.0,0.0,-34.09917343860617
4.2,60.0,30.0,0.0,-32.214782918169064
4.3,60.0,30.0,0.0,-30.31504585703447
4.4,60.0,30.0,0.0,-26.87670889673486
4.5,60.0,30.0,0.0,-23.810120479123867
4.6,60.0,30.0,0.0,-19.001544586793376
4.7,60.0,30.0,0.0,-18.091238881061056
4.8,60.0,30.0,0.0,-15.590594987326892
4.9,60.0,30.0,0.0,-13.364660463879288
